Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
SENS,4.2,376 ,"₹45,999",65,1,3840 x 2160,Android,34
SONY,4.7,78 ,"₹1,59,990",75,1,3840 x 2160,Google,46
OnePlus,4.5,12 ,"₹99,999",65,1,3840 x 2160,Google,37
Candes,4.1,12 ,"₹20,999",43,1,3840 x 2160,Android,56
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
TCL,,,"₹36,990",55,2,3840 x 2161,Google,38
SAMSUNG,2.8,1 ,"₹74,990",65,1,3840 x 2160,Tizen,48
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
SAMSUNG,4.1,0 ,"₹1,58,500",65,1,3840 x 2160,Tizen,32
PHILIPS,4.2,97 ,"₹40,999",58,2,3840 x 2160,Linux,6
LG,4.3,6 ,"₹20,061",32,1,1366 x 768,WebOS,35
LG,,,"₹49,990",55,1,3840 x 2160,WebOS,41
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
TCL,4.2,4 ,"₹47,990",50,2,3840 x 2160,Google,58
SAMSUNG,4.4,496 ,"₹28,990",43,1,1920 x 1080,Tizen,25
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
SAMSUNG,4.4,"2,520 ","₹33,990",43,1,3840 x 2160,Tizen,38
TCL,4.3,35 ,"₹44,990",50,2,3840 x 2160,Google,60
LG,4.2,11 ,"₹1,02,990",55,1,1920 x 1080,WebOS,
LG,4.4,115 ,"₹56,990",55,2,3840 x 2160,WebOS,40
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SONY,4.5,4 ,"₹74,690",,1,3840 x 2160,Google,42
SAMSUNG,,,"₹79,990",65,1,3840 x 2160,Tizen,36
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
SONY,4.7,2 ,"₹1,63,999",55,1,3840 x 2160,Android,50
Acer,4.5,0 ,"₹33,999",50,1,,Google,32
SAMSUNG,4,6 ,"₹15,525",32,1,1366 x 768,Tizen,35
LG,4.7,0 ,"₹36,990",43,1,3840 x 2160,WebOS,36
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
SAMSUNG,3.8,1 ,"₹49,990",55,1,3840 x 2160,Tizen,29
Coocaa,4.2,"1,233 ","₹25,490",32,1,1366 x 768,Linux,1
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Mi,4.3,"7,372 ","₹15,999",32,1,1366 x 768,Android,36
SONY,4.9,2 ,"₹76,990",50,1,3840 x 2160,Google,32
Acer,4.4,4 ,"₹79,999",65,3,3840 x 2160,Android,46
realme,4.3,337 ,"₹38,999",55,1,3840 x 2160,Android,44
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
LG,4.5,333 ,"₹68,990",65,2,3840 x 2160,WebOS,44
Thomson,4.5,"8,390 ","₹22,999",43,1,3840 x 2160,Android,42
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
SENS,4.2,376 ,"₹24,999",50,1,3840 x 2160,Android,48
Acer,4.5,0 ,"₹27,999",43,1,,Google,33
SAMSUNG,4.4,"2,520 ","₹80,990",65,1,3840 x 2160,Tizen,35
Hyundai,3.9,6 ,"₹22,990",43,1,1920 x 1080,Android,50
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
LG,4.3,127 ,"₹17,999",32,1,1366 x 768,WebOS,36
LG,4.4,115 ,"₹38,990",43,2,3840 x 2160,WebOS,37
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,4.4,"1,931 ","₹48,990",55,1,3840 x 2160,WebOS,38
SONY,5,1 ,"₹1,11,140",65,1,3840 x 2160,Google,32
LG,,,"₹84,990",65,1,3840 x 2160,WebOS,39
SONY,,,"₹2,49,990",75,1,3840 x 2160,Android,34
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SAMSUNG,4.3,7 ,"₹88,990",55,1,3840 x 2160,Tizen,45
SAMSUNG,4.3,"1,503 ","₹69,990",65,1,3840 x 2160,Tizen,40
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
